Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
BigDiesel,SIGMA Infamously Strange,A.I.M. Assaulter,false,65,60680,8,6,12,6,6,0,5,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,A.I.M. Infector,false,30,9012,8,6,6,3,3,0,1,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,A.I.M. Monstrosity,false,65,56654,8,6,12,6,6,0,4,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,A.I.M. Researcher,false,42,5901,8,6,8,1,1,0,1,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,A.I.M. Security,false,80,100278,8,6,13,6,6,0,4,Fortifier,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Abomination,true,95,346948,8,7,17,7,7,7,5,Raider,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Absorbing Man,false,90,155995,6,6,15,6,7,6,4,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Adam Warlock,true,90,246092,8,8,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Agatha Harkness,true,95,350158,8,8,17,7,7,7,5,Skirmisher,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Agent Coulson,true,75,104757,8,7,13,6,7,7,5,Raider,3,3,3,3,3,3
BigDiesel,SIGMA Infamously Strange,Agent Venom,true,95,321418,8,8,16,7,7,7,5,Raider,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,America Chavez,true,90,227824,8,8,15,6,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Ant-Man,true,85,187743,8,8,15,6,6,6,5,Skirmisher,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Anti-Venom,false,85,196580,8,8,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Apocalypse,true,95,243905,7,4,16,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Archangel,true,95,338753,8,6,17,7,7,8,6,Striker,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Baron Zemo,false,90,191064,8,7,15,6,7,7,5,Raider,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Beast,true,90,183097,8,7,15,6,7,6,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Beta Ray Bill,false,95,223983,6,6,16,6,7,6,5,Raider,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Bishop,true,90,217859,8,8,15,6,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Black Bolt,true,90,236430,8,8,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Black Panther,false,95,334267,8,8,16,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Black Panther (1MM),true,95,288147,8,7,16,6,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Black Widow,true,85,186872,8,7,15,6,7,6,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Blob,true,80,114250,8,7,14,6,6,6,5,Fortifier,2,2,2,2,2,2
BigDiesel,SIGMA Infamously Strange,Brawn,true,95,348857,8,7,17,7,7,7,5,Striker,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Bucky Barnes,true,95,281820,7,7,17,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Bullseye,false,65,71548,8,7,12,6,6,6,4,Striker,2,2,2,2,2,2
BigDiesel,SIGMA Infamously Strange,Cable,true,85,147550,8,8,13,6,7,7,4,Striker,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Captain America,true,95,334032,8,8,16,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Captain America (Sam),true,93,251123,8,7,16,7,7,7,5,Skirmisher,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Captain America (WWII),false,95,229063,6,6,16,7,7,7,5,Skirmisher,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Captain Carter,true,95,311606,8,7,16,7,7,7,5,Healer,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Captain Marvel,false,87,223609,8,8,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Carnage,true,85,155614,8,6,15,7,6,6,5,Skirmisher,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Cloak,true,95,277710,8,7,16,6,7,7,5,Skirmisher,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Colleen Wing,true,85,181166,8,7,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Colossus,false,80,134019,8,7,14,6,6,7,5,Fortifier,5,5,5,5,5,5
BigDiesel,SIGMA Infamously Strange,Corvus Glaive,true,90,213067,8,7,16,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Cosmo,false,95,209446,6,6,16,6,6,7,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Crossbones,true,70,74503,8,7,12,6,6,6,5,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,Crystal,true,80,105246,8,6,13,6,6,6,5,Raider,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Cull Obsidian,true,90,210589,8,7,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Cyclops,false,80,119964,8,6,14,6,6,7,5,Raider,5,5,5,5,5,5
BigDiesel,SIGMA Infamously Strange,Dagger,true,95,293778,8,7,16,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Daredevil,true,87,137071,8,6,14,6,6,6,5,Raider,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Dark Beast,true,95,350012,8,8,17,7,7,7,5,Skirmisher,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Dazzler,true,95,318758,8,7,17,7,7,7,5,Raider,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Deadpool,false,80,129166,8,6,15,6,7,7,5,Raider,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Deathlok,true,95,331102,8,8,16,7,7,7,5,Raider,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Deathpool,true,95,336809,8,7,17,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Doctor Doom,true,95,304639,8,6,16,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Doctor Octopus,false,88,204186,8,6,16,7,7,7,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Doctor Strange,true,80,136117,8,7,15,6,7,6,5,Healer,3,3,3,3,3,3
BigDiesel,SIGMA Infamously Strange,Doctor Voodoo,true,85,158845,8,6,14,6,7,7,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Domino,false,80,132918,8,6,14,6,7,7,5,Raider,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Dormammu,true,95,296675,8,5,16,7,7,7,5,Striker,9,9,9,9,9,9
BigDiesel,SIGMA Infamously Strange,Drax,false,80,125941,8,7,14,6,6,6,4,Fortifier,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Ebony Maw,false,90,204478,8,7,15,7,7,7,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Echo,true,90,203243,8,7,15,6,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Electro,true,75,96450,8,7,13,6,6,6,5,Raider,3,3,3,3,3,3
BigDiesel,SIGMA Infamously Strange,Elektra,true,87,141023,8,7,14,6,6,6,5,Skirmisher,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Elsa Bloodstone,true,90,201383,8,8,14,6,6,7,5,Raider,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Emma Frost,false,93,251517,8,8,16,7,7,7,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Falcon,false,80,123117,8,7,14,6,6,7,4,Fortifier,4,4,4,4,4,4
BigDiesel,SIGMA Infamously Strange,Fantomex,true,95,341633,8,8,17,7,7,7,5,Raider,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Firestar,false,80,128821,6,6,15,6,6,6,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Gambit,true,95,364238,8,8,17,7,7,7,5,Raider,10,10,10,10,10,10
BigDiesel,SIGMA Infamously Strange,Gamora,true,90,217523,8,7,15,7,7,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Ghost,false,90,178076,8,6,15,6,6,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Ghost Rider,true,90,189478,8,6,14,6,6,7,5,Striker,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Ghost-Spider,true,92,261904,8,8,16,7,7,7,5,Raider,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Graviton,true,70,67345,8,6,12,6,6,6,4,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,Green Goblin,true,90,180693,8,7,15,6,6,6,5,Raider,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Groot,false,85,140445,8,6,15,6,6,6,5,Healer,8,8,8,8,8,8
BigDiesel,SIGMA Infamously Strange,Gwenpool,false,80,121176,6,6,15,7,7,7,5,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,Hand Archer,false,60,45742,8,6,10,6,6,0,4,,0,0,0,0,0,0
BigDiesel,SIGMA Infamously Strange,Hand Assassin,false,60,45243,8,6,10,6,6,0,4,,0,0,0,0,0,0
